handle,domain,eligible_for_bounty
ivanti_vdp,ivanti.com,False
ivanti_vdp,ivanti.com,False
anthropic-vdp,claude.ai,False
anthropic-vdp,claude.ai,False
vodafone_oman,vfo03.vodafone.om,True
vodafone_oman,vfo01.vodafone.om,True
vodafone_oman,apix.vodafone.om,True
vodafone_oman,vfo02.vodafone.om,True
vodafone_oman,www.vodafone.om,True
vodafone_oman,www.vodafone.om,True
vodafone_oman,apix.vodafone.om,True
vodafone_oman,vfo01.vodafone.om,True
vodafone_oman,vfo02.vodafone.om,True
vodafone_oman,vfo03.vodafone.om,True
peloton,qa1-cms.onepeloton.com,False
peloton,cosmos-stage.onepeloton.com,False
peloton,cms.onepeloton.com,False
peloton,cosmos.onepeloton.com,False
peloton,auth-test.onepeloton.com,False
peloton,cms.onepeloton.com,False
peloton,cosmos.onepeloton.com,False
peloton,auth-test.onepeloton.com,False
peloton,cosmos-stage.onepeloton.com,False
peloton,qa1-cms.onepeloton.com,False
pagerduty,hackerone.stg.runbook.pagerduty.cloud,False
pagerduty,pentest-uat.pushbot.com,False
pagerduty,events.pagerduty.com,False
pagerduty,api.pagerduty.com,False
pagerduty,*.pagerduty.com,False
pagerduty,www.pagerduty.com,False
pagerduty,*.pagerduty.com,False
pagerduty,events.pagerduty.com,False
pagerduty,api.pagerduty.com,False
pagerduty,pentest-uat.pushbot.com,False
pagerduty,https://hub.docker.com/r/rundeck/rundeck/,False
pagerduty,https://hub.docker.com/r/rundeckpro/enterprise,False
pagerduty,https://hub.docker.com/r/rundeckpro/runner,False
pagerduty,hackerone.stg.runbook.pagerduty.cloud,False
pagerduty,www.pagerduty.com,False
nba-public,content-api-nextgen-prod.nba.com,True
nba-public,content-api-prod.nba.com,True
nba-public,core-api.nba.com,True
nba-public,stats.nba.com,True
nba-public,stats-trafficcop-prod.nba.com,True
nba-public,id.nba.com,True
nba-public,2kleague.nba.com,True
nba-public,cdn.nba.com,True
nba-public,gleague.nba.com,True
nba-public,cms.nba.com,True
nba-public,identity.nba.com,True
nba-public,bal.nba.com,True
nba-public,www.nba.com,True
nba-public,www.nba.com,True
nba-public,gleague.nba.com,True
nba-public,2kleague.nba.com,True
nba-public,bal.nba.com,True
nba-public,content-api-nextgen-prod.nba.com,True
nba-public,content-api-prod.nba.com,True
nba-public,core-api.nba.com,True
nba-public,id.nba.com,True
nba-public,stats-trafficcop-prod.nba.com,True
nba-public,cdn.nba.com,True
